_id,b_name,b_addr1,b_addr2,b_city,b_state,b_zip,b_url,b_phone,b_email,b_description,b_hasFood,b_hasTour,b_logoImage,b_rating,b_drinkList,b_hours,b_breweryNum,b_version,b_lat,b_long,b_hasGrowler,b_hasTap,b_utId
ObjectId(56659c702807b4d032a63c1a),The Alchemist,35 Crossroad,,Waterbury,VT,5676,www.alchemistbeer.com,(802) 244-7744,info@alchemistbeer.com,"The Alchemist Brewery is a 15 barrel, small production brewery specializing in fresh, unfiltered IPAs. We are currently focused on brewing one beer perfectly: Heady Topper, our flagship Double IPA. The Cannery is no longer open to the public. We are working on opening a new retail location. More details however, are not available at this time. We run the canning line on Mondays, Tuesdays and Wednesdays and will continue to distribute to all our current accounts. See the complete listing here: http://www.alchemistbeer.com/retail-availability/. Follow us on Twitter: https://twitter.com/alchemistbeer ",FALSE,FALSE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/35/brewery_profile_pic.jpg,,,,35,0,-1,-1,FALSE,FALSE,1244
ObjectId(56659e8c2807b4d032a63c1b),Backacre Beermakers,,,Weston,VT,5161,www.backacrebeermakers.com,,info@backacrebeermakers.com,"A small and unique producer, Backacre Beermakers is focused on making a single sour golden ale that is aged for more than a year in oak barrels. The final product is carefully blended from different barrels to achieve a refreshing balance of tart, fruity, and earthy flavors.  No on-site tours. Please check the website for locations where Backacre beer can be found.",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/2/brewery_profile_pic.jpg,,,,2,0,-1,-1,FALSE,FALSE,41887
ObjectId(5665b28ac6ecf0a0bde7913c),Bent Hill Brewery,1972 Bent Hill Road,,Braintree,VT,5060,www.benthillbrewery.com,,benthillbrewery@gmail.com,"Come on by our tasting room located at 1972 Bent Hill Road for growler fills and bottle sales! We are located locally for bottle sales at Pheonix Fine Food, South Royalton Market, Chefs Market, and Warren Store. Find us on tap locally through Randolph, South Royalton, and Woodstock",TRUE,FALSE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/3/brewery_profile_pic.jpg,,,,3,0,43.9856576,-72.7206572,TRUE,,108962
ObjectId(5665b9c9f3e52b22b69d3598),Bobcat Cafe and Brewery,5 Main Street,,Bristol,VT,5443,www.thebobcatcafe.com,(802) 453-3311,,"Located at the heart of the Green Mountains, we have the unique pleasure of serving handcrafted beers along side homemade food that is fresh and creative. Our brewmaster, Mark Magiera, uses high quality grains, hops and yeast strains to create up to a dozen true to style beers. With his unending expertise, Mark is passionate and innovative without losing the tradition behind each style. In the kitchen, we work hard to bring consistency and quality to the table. We focus on local ingredients to enhance our creative comfort food. The Bobcat Cafe and Brewery opened ten years ago as a community supported business. Today, we strive to support and enhance the community by hosting benefit dinners and by providing a comfortable spot where local people can meet and socialize. Our 100 member Mug Club is a testament to the dedication of our regulars. Come check us out and enjoy!",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/4/brewery_profile_pic.jpg,,,,4,0,44.1328562,-73.0781465,FALSE,TRUE,147
ObjectId(5665ce3287a55c99601d8657),Burlington Beer Company,25 Omega Drive,#150,Williston,VT,5495,www.burlingtonbeercompany.com,(802) 863-2337,steve@burlingtonbeercompany.com," History books tell us that local Vermonter and beer enthusiast Ethan Allen was a leader in the effort to make Vermont the fourteenth star on the U.S. flag in 1791. And those textbooks are right; especially about the 1791 part. Today, in Franklin County, Vermont, Army veteran Steve Gagner is honoring his home state and passion – brewing great beer – with 14th Star Brewing Co. 14th Star is Steve’s 1,200-square-foot nanobrewery on Lower Newton Street, in St. Albans City. We currently produce about 28 barrels of beer a month (about 900 gallons) in small batches from original recipes. What makes 14th Star’s beers stand out? Well, the care with which we handle our beer throughout the brewing process, coupled with our desire to brew the best beer humanly possible. More than that, however, we are dedicated to strengthening our local community and the Vermont Beer community as a whole. We understand that we are part of a tradition of brewing fantastic beer here in Vermont and our goal is to continue to push the bar higher. But that’s not it. Not entirely. You see – at this size, we can brew whatever we want to brew, without the shackles of order fulfillment from a large distributor. In 9 months, we’ve brewed a Pale Ale, a Honey IPA (with honey sourced from right here in Franklin County), a Cascade IPA, a Golden Wheat, a Roasted Porter, an Amber Ale (Valor), a Citrus APA (1493), a Brown Ale, and a Winter Warmer. These beers pop into our rotation as we get the itch to brew them. What makes our beer special is that we can let our imaginations go – brewing beers that many in the area have never tried or heard about. We’re also open to suggestions. If you have a suggestion on a beer we should brew, shoot us an email: steve”at”14thstarbrewing.com. We look forward to continuing to provide the greater St Albans area with quality craft beer. Cheers!",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/5/brewery_profile_pic.jpg,,,,5,0,44.447864,-73.1259356,FALSE,FALSE,39375
ObjectId(5665ced187a55c99601d8658),Covered Bridge Craft Brewery,30 Sleepy Hollow Lane,(613)915-2337,Lyndonville,VT,5850,www.coveredbridgebrew.com,,info@coveredbridgebrew.com,"Covered Bridge Craft Brewery, taking its name from the covered bridge capital of Vermont, opened its doors in July 2012. We focus on developing high quality, small batch beers from original recipes created in Lyndonville using fine ingredients.  We believe the true beer experience starts with your nose so we create crisp, clean aromas that excite the senses. Lucky Me is our flagship beer, the result of a one-night stand between a blonde and pale ale.  It’s a medium-bodied, unfiltered malt blend with a delicate pine and citrus hop aroma.  Lucky Me is draft only, so look for us at bars and restaurants across Vermont.  Other beers will be released soon – please join us at the tasting room in Lyndonville.",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/6/brewery_profile_pic.jpg,,,,6,0,44.525937,-71.998649,FALSE,FALSE,98020
ObjectId(5665d012d6fac18aa19956fd),Idletyme Brewery Company,"1859 Moutain Road, Stowe, VT 05672",,Stowe,VT,5672,http://idletymebrewing.com,(802) 253-4765,info@idletymebrewing.com,"On tap, you will find lagers from straw golden to big and malty; ales that are intensely quaffable; double IPA’s, Belgian influenced ales, very limited seasonal experiments, and Will’s famous New England specialty, classic Bavarian weizens. Always walking the line of balance between malt and hops.",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/7/brewery_profile_pic.jpg,,,,7,0,44.473824,-72.713977,FALSE,FALSE,58446
ObjectId(5665d0a2d6fac18aa19956fe),Drop-in Brewing Company,610 US 7 South,,Middlebury,VT,5743,www.dropinbeer.com,(802)  989-7414,steve@dropinbeer.com,"We operate a tasting room for beer samples and growler fills. You can stand in one place and see the whole brewery but if the brewer is there the door is always open. We’re located in Middlebury Vermont, and open Monday -Wednesday 11:00 am – 5:00 pm, Thursday -Saturday 11:00 am – 7:00 pm, and Sunday 12:00 pm – 5:00 pm. Drop in and taste for yourself! Drop-In Brewery is also the Brewing home of the American Brewers Guild Brewing School (www.abgbrew.com).",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/8/brewery_profile_pic.jpg,,,,8,0,-1,-1,FALSE,FALSE,41124
ObjectId(5665d13ad6fac18aa19956ff),Fiddlehead Brewing Company,6305 Shelburne Road,,Shelburne,VT,5482,www.fiddleheadbrewing.com,(802) 399-2994,fiddleheadbrewing@gmail.com,Owner/Brewer Matt Cohen has worked in the brewing industry for 14 years and is known industry wide as “Matty O.” He got his start in a small Vermont brew pub and eventually went on to become the head brewer of Vermont’s largest craft brewery. He’s now the head brewer and owner of Fiddlehead Brewing.  Matt’s philosophy is to brew well-balanced beers. He’s been known to use interesting and exotic ingredients in an attempt to craft the perfect pint.,TRUE,FALSE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/9/brewery_profile_pic.jpg,,,,9,0,44.3661408,-73.2326189,FALSE,FALSE,18518
ObjectId(5665d204d6fac18aa1995700),First Republic Brewing Company,29 River Rd,,Essex Junction,VT,5452,http://www.1strepublicbrewingco.com,,shawn.trout@1strepublicbrewingco.com,"1st Republic Brewing Co. was founded in 2013 in Fairfax, Vermont. Two friends and military veterans came together with one dream; to craft the finest original beers for all to appreciate. 1st Republic Brewing Co. began in a garage with a single burner system and maintains the dream and perseverance to grow while staying true to their hometown values. 1st Republic Brewing Co, as accomplished Vermonters, creates unique brews, while enjoying the fruits of their labor. With respect and honor for this Nations’ First Republic, 1st Republic Brewing Co. has deep Vermont roots and represents the heart and soul of the hardworking people of this great state. Vermont is a state that takes pride in local grown products, and we want to be apart of that strong community of local producers. With a mindfulness of the past and an eye on the future, 1st Republic is brewing great beer for great people. ",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/10/brewery_profile_pic.jpg,,,,10,0,-1,-1,FALSE,TRUE,151184
